Variable	Coeficiente
R1_CCCC[*:1]	1.0403142032291706
R3_O[*:3]	-0.7505274905315247
R3_[H][*:3]	0.7505274905315245
R1_CC(C)=CCCC(C)=CC[*:1]	-0.5224938475453069
R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	-0.34772730520477774
R6_O[*:6]	0.24825496131215047
R2_[H][*:2]	0.23671855203940714
R2_O[*:2]	-0.23671855203940703
R6_[H][*:6]	-0.2206100009309653
R4_[H][*:4]	-0.1956759266545836
R4_O[*:4]	0.1956759266545835
R5_[H][*:5]	0.1705794315595253
R1_CC(C)=CC[*:1]	-0.17009305047908604
R5_O[*:5]	-0.12156874704086124
R6_C(O[*:5])O[*:6]	-0.03867859588545937
R5_C(O[*:5])O[*:6]	-0.03867859588545932
R6_CO[*:6]	0.011033635504274534
R5_CO[*:5]	-0.010332088633205061
