Variable	Coeficiente
R6_[H][*:6]	-14.4139335434802
R1_CCCC[*:1]	14.090512498063074
R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	-13.003161000887447
R6_O[*:6]	8.626980345448322
R4_O[*:4]	8.567703188757365
R4_[H][*:4]	-8.564022142043903
R5_[H][*:5]	-5.441817813465086
R1_CC(C)=CCCC(C)=CC[*:1]	-0.0
R2_[H][*:2]	-0.0
R1_CC(C)=CC[*:1]	0.0
R3_O[*:3]	0.0
R3_[H][*:3]	-0.0
R2_O[*:2]	0.0
R5_C(O[*:5])O[*:6]	0.0
R5_O[*:5]	0.0
R5_CO[*:5]	0.0
R6_CO[*:6]	0.0
R6_C(O[*:5])O[*:6]	0.0
